dataset	gene_set	score	n_requested	n_found	found_genes
GSE29265	thyroid_differentiation_rai_readiness	rai_differentiation_score	12	12	SLC5A5,TG,TPO,TSHR,PAX8,NKX2-1,FOXE1,DIO1,DIO2,DUOX1,DUOX2,SLC26A4
GSE29265	mapk_dedifferentiation_stress	mapk_score	10	10	DUSP4,DUSP5,DUSP6,ETV4,ETV5,SPRY2,SPRY4,FOS,JUN,MYC
GSE29265	hla_class_i_apm	hla_i_apm_score	13	13	HLA-A,HLA-B,HLA-C,B2M,TAP1,TAP2,TAPBP,PSMB8,PSMB9,PSMB10,ERAP1,ERAP2,NLRC5
GSE29265	hla_class_ii_apc_niche	hla_ii_apc_score	11	11	HLA-DRA,HLA-DRB1,HLA-DRB3,HLA-DRB4,HLA-DRB5,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,CD74,CIITA
GSE29265	t_cell_cytotoxicity	cytotoxic_t_score	10	10	CD3D,CD3E,CD8A,CD8B,GZMB,GZMA,PRF1,NKG7,GNLY,IFNG
GSE29265	ifn_immune_activation	ifn_activation_score	8	8	IFNG,CXCL9,CXCL10,CXCL11,STAT1,IRF1,GBP1,IDO1
GSE29265	checkpoint_exhaustion_suppression	checkpoint_suppression_score	10	10	PDCD1,CD274,CTLA4,LAG3,HAVCR2,TIGIT,IDO1,TOX,FOXP3,IL10
GSE29265	myeloid_tam	myeloid_tam_score	12	12	CD68,CD163,MRC1,CSF1R,CCL2,CCR2,SPP1,LST1,AIF1,LILRB1,LILRB2,FCGR3A
GSE29265	caf_ecm_tgfb_barrier	caf_ecm_tgfb_score	14	14	ACTA2,COL1A1,COL1A2,COL3A1,COL5A1,FAP,PDGFRB,CXCL12,TGFB1,TGFBR1,TGFBR2,SERPINE1,POSTN,FN1
GSE29265	vascular_permeability_delivery_proxy	vascular_delivery_proxy_score	9	9	PECAM1,VWF,KDR,FLT1,ENG,ANGPT2,VEGFA,ESAM,EMCN
GSE29265	vascular_permeability_delivery_proxy_barrier_negative	vascular_barrier_negative_score	5	5	COL1A1,ACTA2,FAP,CXCL12,POSTN
GSE29265	hypoxia_metabolism	hypoxia_score	8	8	CA9,VEGFA,SLC2A1,LDHA,HK2,PDK1,HIF1A,BNIP3
GSE29265	proliferation	proliferation_score	7	7	MKI67,TOP2A,PCNA,MCM2,MCM5,CCNB1,CDK1
GSE29265	tumor_epithelial_thyroid_lineage	tumor_epithelial_score	7	7	EPCAM,KRT8,KRT18,KRT19,PAX8,TG,TPO
GSE29265	dm1_dark_lineage	dm1_dark_lineage_score	11	10	TPO,TG,PAX8,SLC5A5,COL1A1,POSTN,FN1,EPCAM,KRT19,TACSTD2
GSE33630	thyroid_differentiation_rai_readiness	rai_differentiation_score	12	12	SLC5A5,TG,TPO,TSHR,PAX8,NKX2-1,FOXE1,DIO1,DIO2,DUOX1,DUOX2,SLC26A4
